Order	Family	Regalado	Load	Roger	NA	alpha1	alpha2	PseudoSphingo	Load2
General	Otu12	#BEAED4	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#999999
General	Otu6	#FDC086	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#093870
General	Otu1	#FFFF99	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#931D1B
General	Otu2677	#386CB0	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#FC9272
General	Otu3271	#F0027F	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#FB6A4A
General	Otu222	#BF5B17	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#EF3B2C
General	Otu229	#666666	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#CB181D
General	Otu214	#1B9E77	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#E5F5E0
General	Otu155	#D95F02	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#C7E9C0
General	Otu144	#7570B3	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#A1D99B
General	Otu1493	#E7298A	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#74C476
General	Otu91	#66A61E	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#41AB5D
General	Otu86	#de2e26	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#238B45
General	Otu49	#3182BD	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#005A32
General	#03157F	#a5d1c8	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#E5F5E0
General	Otu5	#9f5f2e	#000000	#000000	f:Pseudomonadaceae	#000000	#000000	#000000	#0D6C82
General	Otu8	#d8853a	#000000	#000000	f:Oxalobacteraceae	#000000	#000000	#000000	#B55799
General	Otu3	#ad84bc	#000000	#000000	PLANT	#000000	#000000	#000000	#6ABD45
General	Otu4	#5f4298	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#7670B3
General	expected	#dd9e99	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#000000
General	SUM	#6e9d35	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#999999
General	HOST	#b2cde2	#000000	#000000	HOST	#000000	#000000	#000000	#000000
